ASIN;Title;Auther;Genre
60963972;She: Understanding Feminine Psychology;Robert A. Johnson;Medical Books
60974176;The Machine That Changed the World : The Story of Lean Production;James P. Womack;Engineering & Transportation
61011703;Postcards from France;Megan McNeill Libby;Teen & Young Adult
61092207;The Bartender's Bible: 1001 Mixed Drinks and Everything You Need to Know to Set Up Your Bar;Gary Regan;Cookbooks, Food & Wine
61139009;Geek Chic: The Zoey Zone (Geek Chic (Quality));Margie Palatini;Humor & Entertainment
61149888;PreFab Now;James Grayson Trulove;Arts & Photography
61193119;These Are My Confessions;Joy King;Romance
61228036;A Wedding Like No Other: Inspiration for Creating a Unique, Personal, and Unforgettable Celebration;Peggy Post;Crafts, Hobbies & Home
61231770;Shadow of the Silk Road (P.S.);Colin Thubron;Travel
61233943;The Red Dragon & The West Wind: The Winning Guide to Official Chinese & American Mah-Jongg;Tom Sloper;Humor & Entertainment
61239216;The End of Days: Armageddon and Prophecies of the Return (Earth Chronicles);Zecharia Sitchin;Science & Math
61245089;Halfway to the Grave (Night Huntress, Book 1);Jeaniene Frost;Romance
61373958;Bind, Torture, Kill: The Inside Story of BTK, the Serial Killer Next Door;Roy Wenzl;Biographies & Memoirs
61379271;The Wars of Gods and Men: Book III of the Earth Chronicles (The Earth Chronicles);Zecharia Sitchin;Science & Math
61448788;Gone;Michael Grant;Teen & Young Adult
61582417;The First Man in Rome (Masters of Rome);Colleen McCullough;Literature & Fiction
61625981;The Spiritual Brain: A Neuroscientist's Case for the Existence of the Soul;Mario Beauregard;Religion & Spirituality
61628352;Devotion: A Memoir;Dani Shapiro;Biographies & Memoirs
61698954;Surviving an Eating Disorder: Strategies for Family and Friends;Michele Siegel;Self-Help
61703087;Prey;Michael Crichton;Mystery, Thriller & Suspense
61714577;Nick Knight;Nick Knight;Humor & Entertainment
61725900;The Official CIA Manual of Trickery and Deception;H. Keith Melton;History
61775932;The Templars: The History and the Myth: From Solomon's Temple to the Freemasons;Michael Haag;Religion & Spirituality
61785660;Bloodline (Sigma Force);James Rollins;Mystery, Thriller & Suspense
61829617;Fire on the Mountain: The True Story of the South Canyon Fire;John N. Maclean;Science & Math
61946486;Kicking Up Dirt: A True Story of Determination, Deafness, and Daring;Ashley Fiolek;Sports & Outdoors
61960780;The Lost Beatles Photographs: The Bob Bonis Archive, 1964-1966;Larry Marion;Humor & Entertainment
61991074;Innocent Blood: The Order of the Sanguines Series;James Rollins;Mystery, Thriller & Suspense
62003224;How to Be Black;Baratunde Thurston;Humor & Entertainment
62019058;The Last Viking (Viking II);Sandra Hill;Romance
62019236;Wet & Wild (Viking II);Sandra Hill;Romance
62019503;Dark Legend (Dark Series);Christine Feehan;Romance
62060090;Champions of Breakfast (Cold Cereal Saga);Adam Rex;Children's Books
62073508;Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot Mysteries);Agatha Christie;Mystery, Thriller & Suspense
62074407;Parker Pyne Investigates: A Parker Pyne Collection;Agatha Christie;Mystery, Thriller & Suspense
62110624;Pete the Cat Saves Christmas;Eric Litwin;Children's Books
62110721;Pete the Cat: Pete at the Beach (My First I Can Read);James Dean;Children's Books
62113321;The Happiest Baby Guide to Great Sleep: Simple Solutions for Kids from Birth to 5 Years;Harvey Karp;Parenting & Relationships
62116916;Blood of Dragons: Volume Four of the Rain Wilds Chronicles;Robin Hobb;Science Fiction & Fantasy
62192027;Wish You Happy Forever: What China's Orphans Taught Me About Moving Mountains;Jenny Bowen;Parenting & Relationships
62221337;I Love It When You Smile;Sam McBratney;Children's Books
62228323;The Kid Stays in the Picture: A Notorious Life;Robert Evans;Biographies & Memoirs
62237101;Hunting Shadows: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries);Charles Todd;Mystery, Thriller & Suspense
62241478;Until I Say Good-Bye: My Year of Living with Joy;Susan Spencer-Wendel;Biographies & Memoirs
62241753;Get the Guy: Learn Secrets of the Male Mind to Find the Man You Want and the Love You Deserve;Matthew Hussey;Self-Help
62259407;Pleasantville (Jay Porter Series);Attica Locke;Mystery, Thriller & Suspense
62267418;Tibetan Peach Pie: A True Account of an Imaginative Life;Tom Robbins;Biographies & Memoirs
62270818;Curiosity House: The Shrunken Head;Lauren Oliver;Children's Books
62275496;Dorothy L. Sayers: The Complete Stories;Dorothy L. Sayers;Mystery, Thriller & Suspense
62280201;Jingo: A Novel of Discworld;Terry Pratchett;Science Fiction & Fantasy
62282751;The Big, Bad Book of Botany: The World's Most Fascinating Flora;Michael Largo;Humor & Entertainment
62283251;Creativity: The Psychology of Discovery and Invention;Mihaly Csikszentmihalyi;Self-Help
62287885;A Replacement Life: A Novel (P.S.);Boris Fishman;Literature & Fiction
62293192;Three Souls: A Novel (P.S.);Janie Chang;Literature & Fiction
62307568;Dark Invasion: 1915: Germany's Secret War and the Hunt for the First Terrorist Cell in America;Howard Blum;Biographies & Memoirs
62320521;Magonia;Maria Dahvana Headley;Teen & Young Adult
62328476;Dark Matter and the Dinosaurs: The Astounding Interconnectedness of the Universe;Lisa Randall;Science & Math
62333771;A Big Heart Open to God: A Conversation with Pope Francis;Pope Francis;Christian Books & Bibles
62342983;Hockey Confidential: Inside Stories from People Inside The Game;Bob McKenzie;Sports & Outdoors
62345842;Models of Influence: 50 Women Who Reset the Course of Fashion;Nigel Barker;Humor & Entertainment
62351559;Zeroes: A Novel;Chuck Wendig;Mystery, Thriller & Suspense
62353241;Your New Prime: 30 Days to Better Sex, Eternal Strength, and a Kick-Ass Life After 40;Craig Cooper;Health, Fitness & Dieting
62363891;Chasing Jillian: A Love and Football Novel;Julie Brannagh;Romance
62379194;Starscape: Andromedan Dark: Book One;Ian Douglas;Science Fiction & Fantasy
62380443;One Hundred Years of Solitude slipcased edition;Gabriel Garcia Marquez;Science Fiction & Fantasy
62385836;Shuffle and Deal: 50 Classic Card Games for Any Number of Players;Tara Gallagher;Science Fiction & Fantasy
62386247;A Pattern of Lies: A Bess Crawford Mystery (Bess Crawford Mysteries);Charles Todd;Mystery, Thriller & Suspense
62507567;The Thirteen Original Clan Mothers: Your Sacred Path to Discovering the Gifts, Talents, and Abilities of the Feminine Through the Ancient Teachings of the Sisterhood;Jamie Sams;Religion & Spirituality
62508342;The Tibetan Book of Living and Dying: The Spiritual Classic & International Bestseller: 20th Anniversary Edition;Sogyal Rinpoche;Self-Help
64451003;The Big Dipper (Let's-Read-and-Find-Out Science 1);Franklyn M. Branley;Science & Math
64462234;Seymour Simon's Book of Trains;Seymour Simon;Engineering & Transportation
70051933;Principles of Child Neurology;Bruce O. Berg;Health, Fitness & Dieting
70390207;Understanding Interest Rate Swaps;Mary Ludwig;Business & Money
70592187;The Marlinspike Sailor;Hervey Garrett Smith;Engineering & Transportation
71341455;Half a Wing, Three Engines and a Prayer: B-17s over Germany;Brian O'Neill;Travel
71375252;Land Development Handbook (Handbook);The Dewberry Companies;Law
71376747;Low Voltage Wiring: Security/Fire Alarm Systems;Terry Kennedy;Computers & Technology
71381392;The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night;Elizabeth Pantley;Parenting & Relationships
71387099;The Living Trust : The Failproof Way to Pass Along Your Estate to Your Heirs;Henry Abts;Law
71420398;A Cruising Guide to Puget Sound and the San Juan Islands: Olympia to Port Angeles;Migael Scherer;Engineering & Transportation
71421300;Teach Yourself Writing Crime Fiction;Lesley Adamson;Mystery, Thriller & Suspense
71453873;Easy French Step-by-Step;Myrna Bell Rochester;Reference
71461078;McGraw-Hill's Dictionary of American Slang and Colloquial Expressions: The Most Up-to-Date Reference for the Nonstandard Usage, Popular Jargon, and Vulgarisms of Contempos (McGraw-Hill ESL References);Richard Spears;Reference
71466592;Instant Cashflow (Instant Success);Bradley Sugars;Business & Money
71475249;Building Strip-Planked Boats;Nick Schade;Engineering & Transportation
71487816;Schaum's Outline of Fluid Mechanics (Schaum's Outlines);Merle Potter;Engineering & Transportation
71497374;The ULTIMATE Tesla Coil Design and Construction Guide;Mitch Tilbury;Science & Math
71498508;Oracle Database 11g SQL (Oracle Press);Jason Price;Computers & Technology
71600639;10-Minute Toughness: The Mental Training Program for Winning Before the Game Begins;Jason Selk;Reference
71613765;McGraw-Hill's Top 50 Skills for a Top Score: ACT Math;Brian Leaf;Test Preparation
71615903;McGraw-Hill's Chinese Illustrated Dictionary: 1,500 Essential Words in Chinese Script and Pinyin lay the foundation of your language learning;Live ABC;Travel
71622489;Transients in Electrical Systems: Analysis, Recognition, and Mitigation;J.C. Das;Business & Money
71623957;Ductile Design of Steel Structures, 2nd Edition;Michel Bruneau;Engineering & Transportation
71627103;The Fertility Diet: Groundbreaking Research Reveals Natural Ways to Boost Ovulation and Improve Your Chances of Getting Pregnant;Jorge Chavarro;Parenting & Relationships
71703268;PICAXE Microcontroller Projects for the Evil Genius;Ron Hackett;Computers & Technology
71745769;Lange Q&A Surgical Technology Examination, Sixth Edition (Lange Q&A Allied Health);Carolan Sherman;Medical Books
71750177;Perfecting Your English Pronunciation with DVD;Susan Cameron;Reference
71753680;5 Steps to a 5 500 AP English Language Questions to Know by Test Day (5 Steps to a 5 on the Advanced Placement Examinations Series);Allyson Ambrose;Test Preparation
71756167;Perfect Phrases for Conflict Resolution: Hundreds of Ready-to-Use Phrases for Encouraging a More Productive and Efficient Work Environment (Perfect Phrases Series);Lawrence Polsky;Parenting & Relationships
71761233;Pediatrics PreTest Self-Assessment And Review, Thirteenth Edition;Robert Yetman;Test Preparation
71768858;Oracle Database 11g & MySQL 5.6 Developer Handbook (Oracle Press);Michael McLaughlin;Computers & Technology
71769854;Hinduism--An Introduction: A Teach Yourself Guide (Teach Yourself: General Reference);Owen Cole;Religion & Spirituality
71770585;Airport Systems, Second Edition: Planning, Design and Management;Richard de Neufville;Engineering & Transportation
71771816;General Aviation Law 3/E;Jerry Eichenberger;Law
71775307;Crucial Conversations: Tools for Talking When Stakes Are High, Second Edition;Kerry Patterson;Politics & Social Sciences
71781153;McGraw-Hill's SSAT/ISEE: Secondary School Admission Test, Independent School Entrance Exam;Nicholas Falletta;Test Preparation
71789235;Katzung & Trevor's Pharmacology Examination and Board Review,10th Edition (Katzung & Trevor's Pharmacology Examination & Board Review);Anthony Trevor;Medical Books
71799680;The TAB Guide to DIY Welding: Hands-on Projects for Hobbyists, Handymen, and Artists;Jackson Morley;Engineering & Transportation
71804633;Coaching for Breakthrough Success: Proven Techniques for Making Impossible Dreams Possible;Jack Canfield;Business & Money
71809201;McGraw-Hill's ASVAB, 3rd Edition: Strategies + 4 Practice Tests;Dr. Janet Wall;Test Preparation
71809341;QuickBooks 2013 The Guide (QuickBooks: The Official Guide);Leslie Capachietti;Computers & Technology
71810102;What the Plus!: Google+ for the Rest of Us;Guy Kawasaki;Computers & Technology
71817700;Lean Healthcare Deployment and Sustainability;Mark L. Dean;Medical Books
71821589;Raspberry Pi Projects for the Evil Genius;Donald Norris;Engineering & Transportation
71824413;McGraw-Hill Education MCAT 2 Full-length Practice Tests 2015, Cross-Platform Edition;George Hademenos;Test Preparation
71825053;Basic and Clinical Pharmacology 13 E;Bertram Katzung;Medical Books
71826351;Katzung & Trevor's Pharmacology Examination and Board Review,11th Edition (Katzung & Trevor's Pharmacology Examination & Board Review);Anthony Trevor;Test Preparation
71828982;Schaum's Outline of French Grammar;Mary Crocker;Reference
71829237;OCA Oracle Database 12c Installation and Administration Exam Guide (Exam 1Z0-062) (Oracle Press);John Watson;Computers & Technology
71831355;Practice Makes Perfect Complete Spanish All-in-One;Gilda Nissenberg;Reference
71831932;McGraw-Hill Education SAT 2015 (Mcgraw Hill's Sat);Christopher Black;Test Preparation
71834621;LANGE Radiography Review Flashcards;D.A. Saia;Medical Books
71836144;McGraw-Hill Education 500 Review Questions for the MCAT: Biology;Robert Stewart;Test Preparation
71839763;CCFP Certified Cyber Forensics Professional All-in-One Exam Guide;Chuck Easttom;Computers & Technology
71841393;McGraw-Hill Education 500 Review Questions for the MCAT: Behavioral Sciences;Koni S. Christensen;Test Preparation
71846611;McGraw-Hill Education Preparation for the GED® Test with DVD-ROM;Editors of McGraw-Hill Education;Test Preparation
72118490;The Internet Kids & Family Yellow Pages, 1999 Edition;Jean Armour Polly;Computers & Technology
72129441;Build Your Own PC Pocket Reference;Stephen J. Bigelow;Computers & Technology
72253517;Oracle Database 10g: The Complete Reference (Osborne ORACLE Press Series);Kevin Loney;Computers & Technology
72319585;Health Education and Health Promotion: Learner-Centered Instructional Strategies;Jerrold S Greenberg;Health, Fitness & Dieting
72556420;Exercise Physiology: Human Bioenergetics and Its Applications;George Brooks;Medical Books
72557141;Ballet Basics;Sandra Noll Hammond;Humor & Entertainment
72844035;Basic Statistics for the Health Sciences;Jan Kuzma;Medical Books
72909382;Economic Botany: Plants in our World;Beryl Simpson;Crafts, Hobbies & Home
73046213;Real Estate Principles: A Value Approach;David Ling;Business & Money
73378305;Vander's Human Physiology: The Mechanisms of Body Function, 13th Edition;Eric Widmaier;Medical Books
73397857;Construction Contracts;Jimmie Hinze;Law
73405388;Understanding and Applying Medical Anthropology;Peter Brown;Politics & Social Sciences
73517852;Principles of Microeconomics;Robert Frank;Business & Money
73521477;Basic Statistics for Business and Economics;Douglas Lind;Science & Math
73524964;Employment Law for Business;Dawn Bennett-Alexander;Law
73534870;Introduction to MATLAB for Engineers;William Palm III;Computers & Technology
77331249;Microsoft Office Access 2010: A Lesson Approach, Complete;John Carter;Computers & Technology
77379810;Launching the Imagination: A Guide to Three-Dimensional Design;Mary Stewart;Engineering & Transportation
77400232;The O'Leary Series: Microsoft Office Access 2013, Introductory;Linda O'Leary;Computers & Technology
77494261;Theatre: Brief Version, 10th Edition;Robert Cohen;Humor & Entertainment
77614046;Intermediate Accounting with Annual Report;J. David Spiceland;Computers & Technology
77861043;Essentials of Marketing: A Marketing Strategy Planning Approach;Jr., William Perreault;Business & Money
77862201;International Accounting;Timothy Doupnik;Business & Money
78021391;Contemporary Nutrition: A Functional Approach;Gordon Wardlaw;Medical Books
78028485;Consumer Health: A Guide To Intelligent Decisions;Stephen Barrett;Reference
78028647;Drugs, Society, and Human Behavior;Carl Hart;Health, Fitness & Dieting
78036917;Communication Research: Asking Questions, Finding Answers;Joann Keyton;Reference
78038367;How to Think About Weird Things: Critical Thinking for a New Age;Theodore Schick;Politics & Social Sciences
78263263;Glencoe Health, Student Edition;McGraw-Hill Education;Teen & Young Adult
78616468;Food for Today: Student Activity Manual;Helen Kowtaluk;Teen & Young Adult
78690706;Culinary Essentials, Student Edition;Johnson & Wales;Parenting & Relationships
78774055;Teen Health, Course 1, Student Edition;McGraw-Hill Education;Health, Fitness & Dieting
78775140;The American Vision: Modern Times, Student Edition (UNITED STATES HISTORY (HS));McGraw-Hill Education;Teen & Young Adult
78807239;Chemistry: Concepts & Applications, Student Edition;McGraw-Hill Education;Children's Books
80408230;Skin Tumors of the Dog & Cat (Pergamon Veterinary Handbook Series);Frances S. Shofer;Medical Books
80977529;Radar and ARPA Manual, Third Edition: Radar, AIS and Target Tracking for Marine Radar Users;Alan G. Bole;Engineering & Transportation
91736048;Kuwait, Vanguard of the Gulf;Peter Mansfield;History
113310595;Managing Successful Projects with PRINCE2 2009 Edition Manual;Office of Government Commerce;Reference
113313551;Passing Your Itil Foundation Exam (Best Management Practice);Christian F. Nissen;Computers & Technology
120885301;Introduction to Marine Biogeochemistry, Second Edition;Susan Libes;Science & Math
122947576;Table of Integrals, Series, and Products, Sixth Edition;I. S. Gradshteyn;Science & Math
123742609;An Introduction to Parallel Programming;Peter Pacheco;Computers & Technology
123869226;Private Security and the Law, Fourth Edition;Charles Nemeth JD  Ph.D.  LL.M;Law
123876931;Pipeline Rules of Thumb Handbook, Eighth Edition: A Manual of Quick, Accurate Solutions to Everyday Pipeline Engineering Problems;E.W. McAllister;Engineering & Transportation
123919274;Intermolecular and Surface Forces, Third Edition: Revised Third Edition;Jacob N. Israelachvili;Engineering & Transportation
123973082;General Aviation Aircraft Design: Applied Methods and Procedures;Snorri Gudmundsson;Engineering & Transportation
124051626;LTE-Advanced: A Practical Systems Approach to Understanding 3GPP LTE Releases 10 and 11 Radio Access Technologies;Sassan Ahmadi;Crafts, Hobbies & Home
125080808;Anionic Polymerization: Principles and Practice;Maurice Morton;Science & Math
126298106;Astronomical Optics, Second Edition;Daniel J. Schroeder;Science & Math
130264652;Supply Chain Management: Strategy, Planning and Operations;Sunil Chopra;Business & Money
130267457;Activity Workbook to accompany Side By Side, Book 1;Steven J. Molinsky;Test Preparation
130612286;Microsoft Word 2002 Made Easy;Katie Layman;Business & Money
130646695;Sun Certified Network Administrator for Solaris 8 Operating Environment Study Guide;Rick Bushnell;Computers & Technology
130652431;Applied Partial Differential Equations: With Fourier Series and Boundary Value Problems, 4th Edition;Richard Haberman;Science & Math
130990876;Essentials for Today's Nursing Assistant, Special Edition;Peggy A. Grubbs RN  BSN;Medical Books
131140140;Business Mathematics (9th Edition);Nelda R. Roueche;Business & Money
131180118;Culinary Fundamentals;The American Culinary Federation;Cookbooks, Food & Wine
131206680;Gas Dynamics (3rd Edition);James E.A. John;Engineering & Transportation
131867164;Core Web Application Development with PHP and MySQL;Marc Wandschneider;Computers & Technology
131933884;The Globe Encompassed: The Age of European Discovery (1500 to 1700);Glenn J. Ames;History
132336995;Understanding Movies, 11th Edition;Louis Giannetti;Humor & Entertainment
132438496;A History of Psychology: From Antiquity to Modernity;Thomas Leahey;Medical Books
132685752;Language Arts: Patterns of Practice (8th Edition);Gail E. Tompkins;Reference
132705842;Procedures in the Justice System (10th Edition);Cliff Roberson;Law
132726777;Corrections in America: An Introduction (13th Edition);Harry E. Allen;Law
132898357;Mathematics for Business (10th Edition);Stanley A. Salzman;Business & Money
132912716;Longman Academic Writing Series 2: Paragraphs (3rd Edition);Ann Hogue;Reference
132936208;Pearson Reviews & Rationales: Child Health Nursing with Nursing Reviews & Rationales (3rd Edition);MaryAnn Hogan;Test Preparation
132956039;Wills, Trusts, and Estates Administration (4th Edition);Suzan D Herskowitz;Law
133026922;High-Acuity Nursing (6th Edition);Kathleen Dorman Wagner RN  MSN  CS;Medical Books
133041948;Principles of Language Learning and Teaching (6th Edition);H. Douglas Brown;Politics & Social Sciences
133045994;Pharmacology, 3rd Edition;MaryAnn Hogan;Medical Books
133050696;Management Information Systems: Managing the Digital Firm, 13th Edition;Kenneth C. Laudon;Business & Money
133143864;The FFT: Fundamentals and Concepts;Robert W. Ramirez;Science & Math
133178579;Calculus: Graphical, Numerical, Algebraic;Ross L. Finney;Teen & Young Adult
133254224;Developing Management Skills Plus MyManagementLab with Pearson eText -- Access Card Package (9th Edition);David A. Whetten;Business & Money
133349330;GO! with Microsoft Word 2013 Brief;Shelley Gaskin;Computers & Technology
133351912;A Teacher's Pocket Guide to School Law (3rd Edition) (Allyn & Bacon Educational Leadership);Nathan L. Essex;Law
133382257;NorthStar 1: Listening and Speaking, 3rd Edition;Polly Merdinger;Reference
133458555;On Cooking: A Textbook of Culinary Fundamentals, 5th Edition;Sarah R. Labensky;Business & Money
133548198;Understanding and Managing Diversity: Readings, Cases, and Exercises (6th Edition);Carol Harvey;Business & Money
133582736;Starting Out with Python (3rd Edition);Tony Gaddis;Computers & Technology
133795020;Principles of Marketing (16th Edition) (Newest Edition);Philip T Kotler;Business & Money
133816737;Handbook of simplified radio, phono, and tape recorder repairs: An illustrated troubleshooting guide;James Edward Keogh;Crafts, Hobbies & Home
133866653;Arboriculture: Integrated Management of Landscape Trees, Shrubs, and Vines (3rd Edition);Richard W. Harris;Crafts, Hobbies & Home
133915425;Engineering Mechanics: Statics & Dynamics (14th Edition);Russell C. Hibbeler;Engineering & Transportation
134426290;Analysis Without Paralysis: 12 Tools to Make Better Strategic Decisions (Paperback) (2nd Edition);Babette E. Bensoussan;Business & Money
135137829;Construction Scheduling: Principles and Practices (2nd Edition);Jay S. Newitt;Arts & Photography
136000924;Operational Organic Chemistry (4th Edition);John W. Lehman;Science & Math
137042019;Technical Analysis Plain and Simple: Charting the Markets in Your Language (3rd Edition);Michael N. Kahn CMT;Business & Money
137043775;Strategic Risk Taking: A Framework for Risk Management (paperback);Aswath Damodaran;Business & Money
137085125;The Facebook Era: Tapping Online Social Networks to Market, Sell, and Innovate (2nd Edition);Clara Shih;Computers & Technology
140067485;The Puzzle Palace: Inside the National Security Agency, America's Most Secret Intelligence Organization;James Bamford;Law
140094296;The Songlines;Bruce Chatwin;History
140184643;Tarzan of the Apes;Edgar Rice Burroughs;Literature & Fiction
140187650;Eichmann in Jerusalem: A Report on the Banality of Evil;Hannah Arendt;Politics & Social Sciences
140210040;The Enlightenment: An Evaluation of its Assumptions, Attitudes, and Values, Vol. 4 (History of European Thought);Norman Hampson;Politics & Social Sciences
140291849;Feature Filmmaking at Used-Car Prices: Second Revised Edition;Rick Schmidt;Engineering & Transportation
140432086;The Wealth of Nations: Books 1-3 (Penguin Classics) (Bks.1-3);Adam Smith;Business & Money
140434089;The Moonstone (Penguin Classics);Wilkie Collins;Mystery, Thriller & Suspense
140441123;Prometheus Bound and Other Plays: Prometheus Bound, The Suppliants, Seven Against Thebes, The Persians (Penguin Classics);Philip Vellacott;Mystery, Thriller & Suspense
140441638;The Upanishads (Penguin Classics);Anonymous;Politics & Social Sciences
140512543;The Penguin Dictionary of Symbols (Dictionary, Penguin);Jean Chevalier;Politics & Social Sciences
140513299;The Penguin Historical Atlas of Ancient Rome (Hist Atlas);Chris Scarre;History
141025387;To the Holy Shrines (Penguin Great Journeys);Richard Burton;Travel
141192577;The Sonnets and a Lover's Complaint (Hardcover Classics);William Shakespeare;Literature & Fiction
141439831;Vanity Fair (Penguin Classics);William Makepeace Thackeray;Literature & Fiction
141441518;The Bible (Penguin Classics);Anonymous;Christian Books & Bibles
141442085;The Marsh Arabs (Penguin Classics);Wilfred Thesiger;Biographies & Memoirs
142180475;Love 2.0: Finding Happiness and Health in Moments of Connection;Barbara L. Fredrickson Ph.D.;Health, Fitness & Dieting
142181072;Emotional First Aid: Healing Rejection, Guilt, Failure, and Other Everyday Hurts;Guy Winch Ph.D.;Self-Help
142401757;Dreamland;Sarah Dessen;Teen & Young Adult
142402699;Malka;Mirjam Pressler;Teen & Young Adult
142403873;The Gruffalo;Julia Donaldson;Literature & Fiction
142414603;Safe at Home (Comeback Kids);Mike Lupica;Children's Books
142415510;Hush;Jacqueline Woodson;Teen & Young Adult
142421715;Crossed (Matched);Ally Condie;Teen & Young Adult
142437220;The Divine Comedy: Volume 1: Inferno (Penguin Classics);Dante Alighieri;Literature & Fiction
142437522;The Exploration of the Colorado River and Its Canyons (Penguin Classics);John Wesley Powell;Science & Math
142500267;On the Fringe: Stories;Various;Teen & Young Adult
143035444;A Treasury of Deception: Liars, Misleaders, Hoodwinkers, and the Extraordinary True Stories of History's Greatest Hoaxes, Fakes and Frauds;Michael Farquhar;Humor & Entertainment
143036971;Bargaining for Advantage: Negotiation Strategies for Reasonable People 2nd Edition;G. Richard Shell;Business & Money
143037757;Postwar: A History of Europe Since 1945;Tony Judt;History
143039024;The Quiet American (Penguin Classics Deluxe Edition);Graham Greene;Literature & Fiction
143039393;Count Magnus and Other Ghost Stories (The Complete Ghost Stories of M. R. James, Vol. 1);M. R. James;Literature & Fiction
143113208;The Wages of Destruction: The Making and Breaking of the Nazi Economy;Adam Tooze;Business & Money
143114514;The Penguin Atlas of Women in the World: Fourth Edition;Joni Seager;Reference
143115693;The Secret Scripture: A Novel;Sebastian Barry;Literature & Fiction
143118757;Getting to Yes: Negotiating Agreement Without Giving In;Roger Fisher;Self-Help
143119796;Think Like a Cat: How to Raise a Well-Adjusted Cat--Not a Sour Puss;Pam Johnson-Bennett;Crafts, Hobbies & Home
143120328;Malcolm X: A Life of Reinvention;Manning Marable;Biographies & Memoirs
